,Id,title,link,year,authors,citations,abstract
0,0,Bargaining Game Based Time Scheduling Scheme for Ambient Backscatter Communications,/document/9615057/,2021,['Sungwook Kim'],0,"Backscatter communications have been acknowledged as an essential key technology in the Internet of Things (IoT) applications. Considering the fact that it needs the coordination from network agents, cooperative bargaining theory is an effective method to strike an appropriate system performance. In this paper, we investigate time scheduling algorithms for a backscatter-aided radio-frequency (RF) powered cognitive radio (CR) network, where multiple secondary transmitters can switch among the backscatter, the energy harvest, and active data transmission modes. Our objective is to maximize the RF-CR system performance while exploring the mutual benefits to leverage a reciprocal consensus between different control issues. According to the ideas of two different bargaining solutions - 
modified Nash bargaining solution
 and 
equitable Nash bargaining solution
, we design a new dual bargaining game model to effectively share the limited time resources. The main novelty of our proposed approach is its adaptability, flexibility and responsiveness to current RF-CR system conditions. At last, numerical simulations are carried out to evaluate the performance of the proposed scheme, and we demonstrate the benefits of our dual bargaining game approach."
1,1,The Use of Tangible User Interfaces in K12 Education Settings: A Systematic Mapping Study,/document/9721879/,2022,"['José A. Gallud', 'Ricardo Tesoriero', 'Maria D. Lozano', 'Victor M. R. Penichet', 'Habib M. Fardoun']",0,"Tangible User Interfaces have enriched and expanded the user experience when interacting with computers and smart devices. The monopoly of graphical user interfaces has been broken thanks to the emergence of new complementary technologies that allow for new ways of interacting with computer systems, such as tangible interaction, among others. Due to the scope and number of research articles addressing the Tangible User Interface that have been published, it can now be considered an interaction mechanism that is relatively mature and integrated within society. However, while the application of tangible interfaces in different areas is described as a success, there are only a limited number of research articles about their impact on education and learning systems. As a result, it is difficult to show the actual impact of Tangible User Interface technology in K12 education settings. This study tries to fill this gap by performing a systematic mapping study that shows the current state of research on the impact of this technology in these settings, analyzing the findings and identifying the main advances and limitations of this novel technology."
2,2,Transient Surface Charge Characteristics of DC-GIL Insulator Under Thermal-Electric Coupled Fields,/document/9714376/,2022,"['Xiaolong Li', 'Songling Han', 'Mingde Wan', 'Wen Wang', 'Zhenxin Geng', 'Xin Lin']",0,"The insulator in direct current gas-insulated transmission lines (DC-GIL) would suffer discharge risk due to surface charge accumulation under thermal-electric coupled fields. In this paper, the transient surface charge accumulation characteristics of a basin-type DC-GIL insulator is investigated via finite element method based on a three-dimension horizontally installed GIL model. The stationary temperature distribution of the model is obtained and then applied to the transient simulation of charge. Weak form partial differential equation is employed to deal with the ion transportation equation. Equations and parameters in the simulation are optimized to reduce the computing memory and time. Results indicate that the charge accumulation is accelerated due to the promotion of conduction through the insulator under thermal gradient. Higher charge density is obtained under thermal gradient. And the surface charge density of the convex surface is higher due to the promoted conduction. The highest field strength increases and the corresponding location moves along the convex surface during the transient process. This could attribute to the influence of transient charge behavior under thermal gradient on the electric field distribution. This study indicates that the thermal gradient and transient charge accumulation should be considered when dealing with the insulation characteristics of DC-GIL with insulators."
3,3,Electromagnetic Vibration Characteristics Analysis of a Squirrel-Cage Induction Motor Under Different Loading Conditions,/document/8918234/,2019,"['Defeng Kong', 'Zhijun Shuai', 'Wanyou Li', 'Donghua Wang']",3,"Electromagnetic vibration is an important excitation source for squirrel-cage induction motors. However, the electromagnetic vibration under various loadings has not been sufficiently analyzed. It is proposed in this paper that the electromagnetic vibration of motors under different loads can be obtained by analyzing the amplitude of the electromagnetic force wave. The Maxwell tensor method is employed to derive the spatial and temporal distributions of the radial force. This paper also calculates the radial force using the finite element method and decodes the calculated results using two dimensional fast Fourier transform (2D-FFT) to determine the amplitude of the electromagnetic force at the spatial order under different loads. In addition, through the modal analysis of the stator core, it can be concluded that in the case of nonresonance, the vibration response increases when the electromagnetic force of the first-order and second-order rotor slot harmonic increases. Finally, the conclusion is verified by separating the electromagnetic vibration of the motor using a vibration test rig."
4,4,kNN-STUFF: kNN STreaming Unit for Fpgas,/document/8911384/,2019,"['João Vieira', 'Rui P. Duarte', 'Horácio C. Neto']",11,"This paper presents kNN STreaming Unit For Fpgas (kNN-STUFF), a modular, scalable and efficient Hardware/Software implementation of k-Nearest Neighbors (kNN) classifier targeting System on Chip (SoC) devices. It takes advantage of custom accelerators, implemented on the reconfigurable fabric of the SoC device, to perform most of the classifier’s workload, whereas the processor coordinates the accelerators and runs the remaining workload of the kNN algorithm. kNN-STUFF offers a highly flexible framework, where the designer has the possibility to define the number of parallel instances of the classifier and the parallelism within each instance. This capability allows creating the most suitable implementation for a target device of any size. Results show that kNN-STUFF, with 24 accelerators, attains performance improvements up to 
 67.4\times 67.4×67.4\times  
, when compared to an optimized (−O3) software-only implementation of the kNN running on a single core of the ARM Cortex-A9 CPU. Furthermore, its energy efficiency improvements are as high as 
 50.6\times 50.6×50.6\times  
."
5,5,Dynamic Order-Based Scheduling Algorithms for Automated Retrieval System in Smart Warehouses,/document/9625637/,2021,"['Jialei Liu', 'Soung-Yue Liew', 'Boon Yaik Ooi', 'Donghong Qin']",0,"In typical e-commerce warehouse operations, upon receiving the orders from customers, the purchased items need to be retrieved from shelves and then packaged accordingly for delivery. To automate and speed up the item retrieval process, a Smart Warehouse usually employs a management system, called the Automated Retrieval System (ARS), to control and schedule the retrieval jobs. The working principle of ARS is crucial to the Smart Warehouse because it will have a great impact on the subsequent downstream processes. In short, all the items in a particular order should be considered as an integral part; if one of these items encounters a much larger retrieval delay than others do, then the entire order may experience an unnecessary latency. In the past, the integrality of order has not received much attention for the parallel retrieval process of multiple stackers. To take this into account, this paper proposes using an Order Tag to label all the items that belong to the same order for retrieval job scheduling. The way of calculating the Order Tags will then determine the scheduling discipline of the ARS. With the objectives of minimizing the average delay and ensuring the fairness, two algorithms are proposed. They are named as Dynamic Order-Based (DOB) and Dynamic Order-Based with Threshold (DOBT) Scheduling Algorithms, respectively. Compared with the First-Come-First-Serve and other approaches, the simulation results show that DOB and DOBT are able to reduce the average order retrieval delay by at least 30%, and generate less backlog pressure to the downstream operations."
6,6,A Matheuristic Algorithm for the Multiple-Depot Vehicle and Crew Scheduling Problem,/document/9617637/,2021,"['Emiliana Mara Lopes Simões', 'Lucas De Souza Batista', 'Marcone Jamilson Freitas Souza']",0,"This work addresses the multiple-depot vehicle and crew scheduling problem (MDVCSP). In MDVCSP, we deal with two NP-hard problems in an integrated way: the multiple-depot vehicle scheduling problem (MDVSP) and the crew scheduling problem (CSP). For solving the MDVCSP, we define the vehicles’ operational routine and the workdays of the crews of a public bus transport system with multiple depots. Given the difficulty of solving real-world instances of the MDVCSP using exact mathematical methods, we propose a matheuristic algorithm for solving it. This matheuristic algorithm combines two strategies into an iterated local search (ILS) based framework: a branch-and-bound algorithm for solving the MDVSP and a variable neighborhood descent (VND) based algorithm for treating the associated CSPs. We compared the proposed ILS-MDVCSP with five approaches in the literature that use the same benchmark test instances. We also solved a real-world problem of one of Brazil’s largest cities. For this problem, we proposed a formulation based on a time-space network to address the MDVSP subproblem. The results obtained showed the effectiveness of ILS-MDVCSP, mainly to deal with real-world and large-scale problems. The algorithm was able to solve the largest instances from the literature, for which there was no reported solution. Regarding the run time, as the instances’ size increases, our approach becomes substantially less costly than the others from the literature. For the Brazilian instances, the ILS-MDVCSP saved, on average, the use of 12 vehicles per day and reduced by up to 15% the daily operational time of the vehicles."
7,7,Smart Optical Sensors for Internet of Things: Integration of Temperature Monitoring and Customized Security Physical Unclonable Functions,/document/9718070/,2022,"['Lília M. S. Dias', 'João F. C. B. Ramalho', 'Tiago Silvério', 'Lianshe Fu', 'Rute A. S. Ferreira', 'Paulo S. André']",0,"Nowadays, the Internet of Things (IoT) has an astonishingly societal impact in which healthcare services stand out. Amplified by the COVID-19 pandemic scenario, challenges include the development of authenticatable smart IoT devices with the ability to simultaneously track people and sense in real-time human body temperature aiming to infer a health condition in a contactless and remote way through user-friendly equipment such as a smartphone. Univocal smart labels based on quick response (QR) codes were designed and printed on medical substrates (protective masks and adhesive) using flexible organic-inorganic luminescent inks. Luminescence thermometry and physical unclonable functions (PUFs) are simultaneously combined allowing non-contact temperature detection, identification, and connection with the IoT environment through a smartphone. This is an intriguing example where luminescent inks based on organic-inorganic hybrids modified by lanthanide ions are used to fabricate a smart label that can sense temperature with remarkable figures of merit, including maximum thermal sensitivity of 
 Sr=1.46S_{\mathrm {r}}=1.46 
 %K
−1
 and temperature uncertainty of 
 δT=0.2\delta T=0.2 
 K, and an authentication methodology accuracy, precision, and recall of 96.2%, 98.9%, and 85.7%, respectively. The methodology proposed is feasibly applied for the univocal identification and mobile optical temperature monitoring of individuals, allowing the control of the access to restricted areas and the information transfer to medical entities for post medical evaluation towards a new generation of mobile-assisted 
eHealth
 (
mHealth
)."
8,8,Sub-6 GHz Highly Isolated Wideband MIMO Antenna Arrays,/document/9709315/,2022,"['Amany A. Megahed', 'Mohamed Abdelazim', 'Ehab H. Abdelhay', 'Heba Y. M. Soliman']",0,"This study proposes a compact four-port multiple-input multiple-output (MIMO) antenna system to operate within a frequency range of 3.2–5.75 GHz to serve in 5G new radio (NR) sub-6 GHz n77/n78/n79 and 5 GHz WLAN with good impedance matching. To increase the isolation between the MIMO antenna elements with low complexity and cost, the antenna elements are orthogonally oriented to each other with distance spacing of 
 0.3\lambda _{\text {o}}0.3λo0.3\lambda _{\text {o}} 
 between elements, including electromagnetic bandgap (EBG) structure, defected ground structure (DGS), capacitive elements (CE), and neutralization line (NL). The simulation results show that the measured mutual coupling between the array elements is improved from −20 to −45 dB. The envelope correlation coefficient is enhanced. In addition, the diversity gain, mean effective gain, and total active reflection coefficient are improved simultaneously. The suggested structure has been designed on CST Microwave Studio 2019. The antennas’ overall dimensions for all methods are the same as they approach 46 mm 
 \times46×46\times46 
 mm 
 \times1.6×1.6\times1.6 
 mm. The measured gain of the proposed designs ranges from 6 to 9 dBi, and the radiation efficiency approaches 90%. The antennas are fabricated and tested, where better experimental results are noticed compared to the simulation results. Our antennas are designed over FR-4 substrate with a noticeable cost reduction. Each antenna element has a dimension of 15 mm 
 \times23×23\times23 
 mm 
 \times1.6×1.6\times1.6 
 mm. An “EL” slot into the radiating element and two identical stubs coupled to the partial ground are used to improve the impedance matching and radiation characteristics across the bands of interest. The isolation decreases by 22 dB using the EBG method, reaching the value of −65 dB. Meanwhile, the isolation decreases by 19 dB using the DGS method, reaching −60 dB. Due to gaps between adjacent unit cells and the capacitance generated from the dielectric gap between the top metallic patch and ground plane, ..."
9,9,Robust Charging Schedule for Autonomous Electric Vehicles With Uncertain Covariates,/document/9627905/,2021,"['Yongsheng Cao', 'Yongquan Wang']",0,"Autonomous electric vehicles (AEVs) will become an inevitable trend in the future transportation network and have an important impact on the power grid. It is difficult to find the optimal distributed charging solution for AEVs to minimize the system cost with some uncertainties. In this paper, we investigate an AEVs charging and discharging problem with vehicle-to-grid (V2G) services. We aim to minimize the total electricity cost and battery degradation cost of AEVs and charging station batteries with V2G services, which takes the random arrival and departure of AEVs into account. We first propose a distributed charging framework of AEVs and charging stations by clustering method with the constraint of limited AEVs for each charging station in a region and formulate a distributed offline optimization problem. Then we formulate a distributed online charging optimization problem and propose a distributed online AEV charging scheduling (DOAS) algorithm to get an optimal charging solution. To study a more practical case, we reformulate the distributed online optimization problem with the uncertainties from base loads, renewable energy and charging demands. Furthermore, to improve the time efficiency of DOAS algorithm, we reduce the dimension of the distributed problem and design a dimension-reduction DOAS (DDOAS) algorithm. To seek a robust solution with some uncertainties, we propose a DDOAS algorithm with DRO based on Wasserstein distance (DDODW). Simulation results show that DOAS and DDOAS algorithms can have a close-to-optimal charging cost and a significantly less battery degradation cost of charging stations, compared with centralized online charging scheduling algorithm and DDOAS algorithm is more time-efficient than DOAS algorithm. The proposed DDODW algorithm can provide a robust solution for the energy schedule"
